record_id,af_module_timestamp,initial_screen,video_q1,video1_reaction,video_q2,video_2reaction,video_q3,video3_reaction,video_q4,video4_reaction,overall_reaction1,overall_reaction2,overall_reaction3,overall_reaction4,overall_reaction5,overall_reaction6,af_module_complete
1,,1,1,1,0,,0,,,,2,70,71,72,67,71,2
2,,1,1,1,1,1,1,1,1,1,1,87,86,98,94,69,2
3,,1,1,1,1,1,1,1,1,2,1,90,91,93,97,99,2
4,,1,1,1,1,1,1,1,1,1,1,88,96,96,97,90,2
5,,1,1,1,1,1,1,1,1,1,1,,,,,,0
6,,1,1,1,1,1,1,1,1,1,1,100,100,100,100,100,2
7,"2018-09-21 11:00:37",1,1,1,1,1,1,1,1,1,1,82,80,100,90,100,2
8,"2018-12-10 11:33:17",1,1,1,0,,0,,,,2,50,51,64,50,82,2
9,"2018-11-07 11:42:48",1,1,1,1,1,1,1,1,1,1,93,95,98,90,94,2
10,"2018-11-15 14:23:11",1,1,1,1,1,1,1,1,1,1,80,82,95,84,90,2
11,"2018-11-07 10:03:03",1,1,1,0,,0,,,,1,93,89,95,97,100,2
12,"2018-10-14 10:26:14",1,0,,,,1,1,1,1,,,,,,,2
13,"[not completed]",1,1,1,1,1,1,1,0,,1,,,,,,0
14,"[not completed]",1,1,1,1,1,1,1,0,,1,,,,,,0
15,"[not completed]",1,1,1,0,,1,,,,1,,,,,,0
16,"2018-08-21 15:34:31",1,1,1,1,1,1,1,0,,1,73,80,79,54,26,2
17,"2019-01-31 16:00:15",1,1,1,1,1,1,1,0,,1,87,88,84,82,14,2
18,"2019-08-06 13:18:42",1,1,2,1,1,1,1,1,1,1,50,50,50,50,50,2
